x2,y2,r_mag,ax2,ay2
34171541.245965876,381825233.5528068,384399999.9853084,-0.00021386730080627525,-0.00268897393590355
32490755.964504227,388965452.565103,384399999.9852962,-0.00019694160711508646,-0.002690266548206078
30284826.94047674,386978358.1412021,384399999.9852616,-0.0001800081143987775,-0.0026914526241418203
27221928.723804604,387402183.47971445,384399999.98519415,-0.000163067492563701,-0.00269253210195595
25291000.77200287,383086446.7783812,384399999.98514485,-0.00014612041286274358,-0.002693504947079279
23024057.47779795,372348286.9931576,384399999.98511815,-0.00012916754689365484,-0.0026943711347211085
20322182.651310515,385339651.5548041,384399999.9851225,-0.00011220956602819854,-0.0026951306329742585
18365637.64004835,385024023.99066895,384399999.9850859,-9.524714147149393e-05,-0.0026957833964499096
15677183.054366192,384000432.4712845,384399999.9850494,-7.828094486603265e-05,-0.0026963293930600853
13254114.624172365,388543252.05612093,384399999.9850288,-6.131164824729751e-05,-0.0026967686133714253
11029726.689308882,381807294.83014435,384399999.98503166,-4.433992365296402e-05,-0.0026971010480455393
8335797.17771511,381204181.0099278,384399999.98504126,-2.7366443174331456e-05,-0.0026973266754080657
6078412.17703088,387895175.15751475,384399999.9850458,-1.0391878990684278e-05,-0.002697445479029731
3756376.561387785,383456923.8081826,384399999.9850576,6.583096751722195e-06,-0.0026974574618729786
1364003.8787977835,395512104.8484894,384399999.98507744,2.3557811878516244e-05,-0.002697362626945245
-1041299.4114837978,382611572.4880983,384399999.98508364,4.053159400210782e-05,-0.0026971609708931156
-3435946.5354228253,386498786.4947676,384399999.9850946,5.750377093621806e-05,-0.002696852501009457
-5812957.280434871,386146950.07501304,384399999.98511446,7.447367082541456e-05,-0.0026964372370569586
-8153695.812101439,394579053.44349164,384399999.9851354,9.144062150243104e-05,-0.0026959151923429334
-10385952.909281267,385327743.178367,384399999.985154,0.00010840395086092469,-0.002695286382922597
-13025687.334448684,387319264.35656554,384399999.98517805,0.00012536298744506014,-0.002694550839324316
-15554870.658797005,387878423.8927579,384399999.985198,0.0001423170596655532,-0.002693708591101138
-17679320.832514077,396092161.72047275,384399999.9852039,0.0001592654956495132,-0.002692759664728919
-19977286.54208543,387341950.3414339,384399999.9852175,0.0001762076244253563,-0.0026917041004090956
-22622453.520758513,390028721.9133633,384399999.98524314,0.0001931427757841664,-0.0026905419485296622
-24581639.06563176,382150227.5183374,384399999.98524827,0.00021007027852090743,-0.0026892732490317334
-27397573.286237467,394035248.946228,384399999.98524183,0.00022698946147473031,-0.0026878980436173885
-29637148.634798735,385411795.7246969,384399999.9852473,0.00024389965532142788,-0.002686416393648524
-31309564.79843424,388322045.94041604,384399999.98527014,0.0002608001915030689,-0.00268482836771973
-34196772.96965528,379935906.75039136,384399999.9852733,0.0002776903999718028,-0.002683134022049182
-37030817.950467646,388246351.4599921,384399999.9852498,0.0002945696103806017,-0.00268133341173616
-39079044.33742298,385243384.402353,384399999.98524106,0.00031143715497522484,-0.0026794266135387428
-41684452.21166899,388201987.10143214,384399999.9852514,0.00032829236749096213,-0.0026774137155330807
-43647429.23037041,379289038.8109448,384399999.9852737,0.00034513458054871715,-0.002675294797788899
-46299295.619763896,386290477.0988381,384399999.98523474,0.0003619631248029942,-0.002673069928416545
-48241598.849915855,374855327.1574718,384399999.98520327,0.00037877733316951656,-0.0026707391915228966
-50148470.87653387,386369172.57843345,384399999.98519194,0.00039557654196201164,-0.002668302692930013
-52622363.37625053,386878258.8064055,384399999.9852102,0.0004123600877494471,-0.0026657605396975606
-54547235.28800844,387629194.2614211,384399999.9852057,0.00042912730438451896,-0.0026631128237387947
-58977370.31134161,382408496.47772133,384399999.98514605,0.0004458775247197233,-0.0026603596328217474
-61668743.8238079,384406511.6604581,384399999.98510504,0.00046261008610809506,-0.002657501079856739
-61725969.703347124,375870627.39576346,384399999.9850889,0.000479324328811509,-0.002654537292861331
-66117933.58424663,380373286.22250617,384399999.9851111,0.0004960195928867261,-0.002651468398472183
-67448663.48212333,384026478.7856403,384399999.98508614,0.0005126952144785812,-0.002648294505137691
-69070898.7846224,386608410.23581433,384399999.98500764,0.0005293505293459955,-0.002645015720870912
-72667628.54840028,380885558.89111596,384399999.9849525,0.0005459848793858968,-0.0026416321823882205
-72583443.97304839,380609169.4065031,384399999.98492616,0.0005625976093752705,-0.0026381440390263466
-77553260.07312542,377761951.14124084,384399999.98494416,0.0005791880638893743,-0.0026345514389404592
-77004435.13618004,374992573.1153305,384399999.98492026,0.0005957555828797478,-0.002630854511617514
